화면 구분,기능 구분,화면명/경로,주요 기능(컴포넌트/버튼),기능 흐름/상태,정책/유의사항,입력/출력 데이터 구조
5. 리뷰/평가/신고,리뷰 리스트,/review/list,"받은/작성한 리뷰, 평점평균, 신고",1. 필터/정렬→상세,"블라인드 리뷰, 신고알림",{review_list[]}
5. 리뷰/평가/신고,신고/문의,/report/new,"신고사유 선택/직접입력, 증빙자료 첨부, 제출",1. 입력→제출→처리,신고내역 이력/알림,"{report_id, type, desc, files, status}"
6. 관리자(백오피스),관리자 대시보드,/admin/dashboard,"회원/캠페인/제안/계약/결제/정산/리뷰 통계, 그래프, 기간별 필터",1. 접속→필터/조회,엑셀다운로드 지원,{stat_data[]}
6. 관리자(백오피스),회원 관리,/admin/user,"회원리스트/상세, 상태(정상/정지/탈퇴), 검색/필터, 정지/삭제",1. 목록→상세/관리,강제탈퇴/정지 사유기록,"{user_id, status, logs}"
6. 관리자(백오피스),프로필/포트폴리오 인증관리,/admin/profile,"프로필/포트폴리오 미리보기, 승인/반려, 내역 검색",1. 리스트→상세→승인/반려,승인시 알림발송,"{profile_id, portfolio_id, status, reason, logs}"
6. 관리자(백오피스),캠페인/제안/계약관리,"/admin/campaign, /admin/proposal, /admin/contract","전체 캠페인/제안/계약 리스트/상세, 상태변경, 문제/신고 처리",1. 목록→상세/관리,수동개입 이력저장,"{campaign_id, proposal_id, contract_id, status, logs}"
6. 관리자(백오피스),결제/정산 관리,"/admin/payment, /admin/settlement","결제/정산 리스트/상세, 지급/반려, 문서다운",1. 목록→지급/반려,지급/반려시 알림,"{payment_id, settlement_id, status}"
6. 관리자(백오피스),리뷰/신고/문의 관리,"/admin/review, /admin/report","리뷰신고 리스트/상세, 블라인드, 문의답변, 이력관리",1. 리스트→상세→처리,처리결과 기록/알림,"{review_id, report_id, status, logs}"
6. 관리자(백오피스),공지/이벤트 관리,/admin/notice,"공지사항 등록/수정/삭제, 기간/노출 설정, 미리보기",1. 등록→수정/삭제,기간 경과 자동비노출,"{notice_id, title, content, status, date}"
7. 공통/알림/보안,알림센터,전역,"알림리스트, 읽음처리, 상세바로가기",1. 수신→읽음→이동,수신거부/설정 지원,"{alarm_id, type, link, read}"
7. 공통/알림/보안,개인정보/보안 설정,/profile/security,"비밀번호변경, 2차인증, 탈퇴/데이터삭제",1. 변경/탈퇴→완료,탈퇴 후 데이터보관,"{user_id, change_log, delete_req}"
7. 공통/알림/보안,로그/이력관리,(관리자),"주요 행위 이력 리스트/필터, 상세조회",1. 조회/필터/내보내기,상태변경 로그 자동기록,"{log_id, user, action, date}"
